att_date,[01]usi_id,[01]grade_level,[156]att_code,[156]description,Campus
9/11/2014,2183562965,8,P,Present and On Time,WP
9/11/2014,7144015590,8,P,Present and On Time,WP
9/11/2014,7144015590,8,P,Present and On Time,WP
9/11/2014,1039535803,8,P,Present and On Time,WP
9/11/2014,1039535803,8,P,Present and On Time,WP
9/11/2014,8544366461,8,P,Present and On Time,WP
9/11/2014,8544366461,8,P,Present and On Time,WP
9/11/2014,4798746885,8,P,Present and On Time,WP
9/11/2014,4798746885,8,P,Present and On Time,WP
9/11/2014,7704817117,8,P,Present and On Time,WP
9/11/2014,7704817117,8,P,Present and On Time,WP
9/8/2014,4261135175,1,P,Present and On Time,MS
9/8/2014,4261135175,1,P,Present and On Time,MS
9/8/2014,3894942355,1,P,Present and On Time,MS
9/8/2014,3894942355,1,P,Present and On Time,MS
9/8/2014,3855800712,1,P,Present and On Time,MS
9/8/2014,3855800712,1,P,Present and On Time,MS
9/8/2014,7279616763,1,P,Present and On Time,MS
9/8/2014,7279616763,1,P,Present and On Time,MS
9/8/2014,2823874127,1,P,Present and On Time,MS
9/8/2014,2823874127,1,P,Present and On Time,MS
9/8/2014,4259381539,1,T,Tardy,MS
9/8/2014,4259381539,1,T,Tardy,MS
9/8/2014,2944669664,1,P,Present and On Time,MS
9/8/2014,2944669664,1,P,Present and On Time,MS
9/8/2014,6751922922,1,P,Present and On Time,MS
9/8/2014,6751922922,1,P,Present and On Time,MS
9/8/2014,9764366392,1,P,Present and On Time,MS
9/8/2014,9764366392,1,P,Present and On Time,MS
9/8/2014,8557594321,1,P,Present and On Time,MS
9/8/2014,8557594321,1,P,Present and On Time,MS
9/8/2014,8636749013,1,T,Tardy,MS
9/8/2014,8636749013,1,T,Tardy,MS
9/8/2014,9549307791,4,P,Present and On Time,WP
9/8/2014,9549307791,4,P,Present and On Time,WP
9/8/2014,7925109841,4,P,Present and On Time,WP
9/8/2014,7925109841,4,P,Present and On Time,WP
9/8/2014,7100398424,4,A,Absent,WP
9/8/2014,7100398424,4,A,Absent,WP
9/8/2014,7105794479,4,P,Present and On Time,WP
9/8/2014,7105794479,4,P,Present and On Time,WP
9/8/2014,6599661278,4,P,Present and On Time,WP
9/8/2014,6599661278,4,P,Present and On Time,WP
9/8/2014,1894248138,4,P,Present and On Time,WP
9/8/2014,1894248138,4,P,Present and On Time,WP
9/8/2014,4109394114,4,X,Excused Absent,WP
9/8/2014,4109394114,4,X,Excused Absent,WP
9/8/2014,5331734531,4,P,Present and On Time,WP
9/8/2014,5331734531,4,P,Present and On Time,WP
9/8/2014,3832366551,4,P,Present and On Time,WP
9/8/2014,3832366551,4,P,Present and On Time,WP
9/8/2014,3734163757,4,P,Present and On Time,WP
9/8/2014,3734163757,4,P,Present and On Time,WP
9/8/2014,1533974332,4,P,Present and On Time,WP
9/8/2014,1533974332,4,P,Present and On Time,WP
9/8/2014,2419557234,4,P,Present and On Time,WP
9/8/2014,2419557234,4,P,Present and On Time,WP
9/8/2014,4786126241,4,P,Present and On Time,WP
9/8/2014,4786126241,4,P,Present and On Time,WP
9/8/2014,9672781451,4,P,Present and On Time,WP
9/8/2014,9672781451,4,P,Present and On Time,WP
9/8/2014,2134704682,4,P,Present and On Time,WP
9/8/2014,2134704682,4,P,Present and On Time,WP
9/8/2014,9296932486,4,P,Present and On Time,WP
9/8/2014,9296932486,4,P,Present and On Time,WP
9/8/2014,4486822268,4,P,Present and On Time,WP
9/8/2014,4486822268,4,P,Present and On Time,WP
9/8/2014,3518697161,4,P,Present and On Time,WP
9/8/2014,3518697161,4,P,Present and On Time,WP
9/8/2014,7460503140,4,P,Present and On Time,WP
9/8/2014,7460503140,4,P,Present and On Time,WP
9/8/2014,1826973731,4,P,Present and On Time,WP
9/8/2014,1826973731,4,P,Present and On Time,WP
9/8/2014,6778687612,4,P,Present and On Time,WP
9/8/2014,6778687612,4,P,Present and On Time,WP
9/8/2014,3300143097,4,X,Excused Absent,WP
9/8/2014,3300143097,4,X,Excused Absent,WP
9/8/2014,8432418673,4,A,Absent,WP
9/8/2014,8432418673,4,A,Absent,WP
9/8/2014,3793646874,6,P,Present and On Time,WP
9/8/2014,3793646874,6,P,Present and On Time,WP
9/8/2014,5591978541,6,P,Present and On Time,WP
9/8/2014,5591978541,6,P,Present and On Time,WP
9/8/2014,4711269182,6,P,Present and On Time,WP
9/8/2014,4711269182,6,P,Present and On Time,WP
9/8/2014,9122846242,6,P,Present and On Time,WP
9/8/2014,9122846242,6,P,Present and On Time,WP
9/8/2014,4550638577,6,P,Present and On Time,WP
9/8/2014,4550638577,6,P,Present and On Time,WP
9/8/2014,3351765307,6,P,Present and On Time,WP
9/8/2014,3351765307,6,P,Present and On Time,WP
9/8/2014,3659686677,6,P,Present and On Time,WP
9/8/2014,3659686677,6,P,Present and On Time,WP
9/8/2014,4558198741,6,P,Present and On Time,WP
9/8/2014,4558198741,6,P,Present and On Time,WP
9/8/2014,1320534435,6,P,Present and On Time,WP
9/8/2014,1320534435,6,P,Present and On Time,WP
9/8/2014,2737876374,6,P,Present and On Time,WP
9/8/2014,2737876374,6,P,Present and On Time,WP
9/8/2014,1794372900,6,P,Present and On Time,WP
9/8/2014,1794372900,6,P,Present and On Time,WP
9/8/2014,1547898728,6,P,Present and On Time,WP
9/8/2014,1547898728,6,P,Present and On Time,WP
9/8/2014,5312057891,6,P,Present and On Time,WP
9/8/2014,5312057891,6,P,Present and On Time,WP
9/8/2014,5615965879,6,P,Present and On Time,WP
9/8/2014,5615965879,6,P,Present and On Time,WP
9/8/2014,7171247133,6,P,Present and On Time,WP
9/8/2014,7171247133,6,P,Present and On Time,WP
9/8/2014,2708717324,6,P,Present and On Time,WP
9/8/2014,2708717324,6,P,Present and On Time,WP
9/8/2014,6165357721,6,P,Present and On Time,WP
9/8/2014,6165357721,6,P,Present and On Time,WP
9/8/2014,5469979911,6,P,Present and On Time,WP
9/8/2014,5469979911,6,P,Present and On Time,WP
9/8/2014,9959099891,6,A,Absent,WP
9/8/2014,9959099891,6,A,Absent,WP
9/8/2014,4749680826,6,P,Present and On Time,WP
9/8/2014,4749680826,6,P,Present and On Time,WP
9/8/2014,9203026421,6,P,Present and On Time,WP
9/8/2014,9203026421,6,P,Present and On Time,WP
9/8/2014,7304905278,6,P,Present and On Time,WP
9/8/2014,7304905278,6,P,Present and On Time,WP
9/8/2014,3397415672,6,P,Present and On Time,WP
9/8/2014,3397415672,6,P,Present and On Time,WP
9/8/2014,1237088286,6,P,Present and On Time,WP
9/8/2014,1237088286,6,P,Present and On Time,WP
9/8/2014,2934413624,3,P,Present and On Time,MS
9/8/2014,2934413624,3,P,Present and On Time,MS
9/8/2014,7646463248,3,P,Present and On Time,MS
9/8/2014,7646463248,3,P,Present and On Time,MS
9/8/2014,6142872951,3,T,Tardy,MS
9/8/2014,6142872951,3,T,Tardy,MS
9/8/2014,1091789436,3,T,Tardy,MS
9/8/2014,1091789436,3,T,Tardy,MS
9/8/2014,2311678610,3,P,Present and On Time,MS
9/8/2014,2311678610,3,P,Present and On Time,MS
9/8/2014,6892408796,3,P,Present and On Time,MS
9/8/2014,6892408796,3,P,Present and On Time,MS
9/8/2014,3449579513,3,P,Present and On Time,MS
9/8/2014,3449579513,3,P,Present and On Time,MS
9/8/2014,9138493861,3,P,Present and On Time,MS
9/8/2014,9138493861,3,P,Present and On Time,MS
9/8/2014,5823384114,3,P,Present and On Time,MS
9/8/2014,5823384114,3,P,Present and On Time,MS
9/8/2014,6685003332,3,P,Present and On Time,MS
9/8/2014,6685003332,3,P,Present and On Time,MS
9/8/2014,4812516715,3,P,Present and On Time,MS
9/8/2014,4812516715,3,P,Present and On Time,MS
9/8/2014,1479075685,3,P,Present and On Time,MS
9/8/2014,1479075685,3,P,Present and On Time,MS
9/8/2014,1495874327,3,P,Present and On Time,MS
9/8/2014,1495874327,3,P,Present and On Time,MS
9/8/2014,7703312209,3,P,Present and On Time,MS
9/8/2014,7703312209,3,P,Present and On Time,MS
9/8/2014,6794499904,3,P,Present and On Time,MS
9/8/2014,6794499904,3,P,Present and On Time,MS
9/8/2014,1864744419,3,A,Absent,MS
9/8/2014,1864744419,3,A,Absent,MS
9/8/2014,8816094350,3,T,Tardy,MS
9/8/2014,8816094350,3,T,Tardy,MS
9/8/2014,8687334417,3,P,Present and On Time,MS
9/8/2014,8687334417,3,P,Present and On Time,MS
9/8/2014,2395028224,3,P,Present and On Time,MS
9/8/2014,2395028224,3,P,Present and On Time,MS
9/8/2014,4144289788,3,P,Present and On Time,MS
9/8/2014,4144289788,3,P,Present and On Time,MS
9/8/2014,9983173312,3,P,Present and On Time,MS
9/8/2014,9983173312,3,P,Present and On Time,MS
9/8/2014,9461563973,3,P,Present and On Time,MS
9/8/2014,9461563973,3,P,Present and On Time,MS
9/8/2014,2579537465,6,X,Excused Absent,WP
9/8/2014,2579537465,6,X,Excused Absent,WP
9/8/2014,5351619508,6,P,Present and On Time,WP
9/8/2014,5351619508,6,P,Present and On Time,WP
9/8/2014,4745605879,6,P,Present and On Time,WP
9/8/2014,4745605879,6,P,Present and On Time,WP
9/8/2014,9061615239,6,P,Present and On Time,WP
9/8/2014,9061615239,6,P,Present and On Time,WP
9/8/2014,3227578435,6,P,Present and On Time,WP
9/8/2014,3227578435,6,P,Present and On Time,WP
9/8/2014,3640418070,6,P,Present and On Time,WP
9/8/2014,3640418070,6,P,Present and On Time,WP
9/8/2014,5288632109,6,P,Present and On Time,WP
9/8/2014,5288632109,6,P,Present and On Time,WP
9/8/2014,3795104647,6,P,Present and On Time,WP
9/8/2014,3795104647,6,P,Present and On Time,WP
9/8/2014,7629459886,6,T,Tardy,WP
9/8/2014,7629459886,6,T,Tardy,WP
9/8/2014,4168588032,6,P,Present and On Time,WP
9/8/2014,4168588032,6,P,Present and On Time,WP
9/8/2014,8280121792,6,P,Present and On Time,WP
9/8/2014,8280121792,6,P,Present and On Time,WP
9/8/2014,9085093714,6,P,Present and On Time,WP
9/8/2014,9085093714,6,P,Present and On Time,WP
9/8/2014,8337158374,6,P,Present and On Time,WP
9/8/2014,8337158374,6,P,Present and On Time,WP
9/8/2014,8818119891,6,P,Present and On Time,WP
9/8/2014,8818119891,6,P,Present and On Time,WP
9/8/2014,9427974521,6,P,Present and On Time,WP
9/8/2014,9427974521,6,P,Present and On Time,WP
9/8/2014,4661408599,6,P,Present and On Time,WP
9/8/2014,4661408599,6,P,Present and On Time,WP
9/8/2014,2267769441,6,A,Absent,WP
9/8/2014,2267769441,6,A,Absent,WP
9/8/2014,6901605501,6,A,Absent,WP
9/8/2014,6901605501,6,A,Absent,WP
9/8/2014,1901312344,6,P,Present and On Time,WP
9/8/2014,1901312344,6,P,Present and On Time,WP
9/8/2014,3555781280,6,A,Absent,WP
9/8/2014,3555781280,6,A,Absent,WP
9/8/2014,3603311710,6,P,Present and On Time,WP
9/8/2014,3603311710,6,P,Present and On Time,WP
9/8/2014,3267639131,6,P,Present and On Time,WP
9/8/2014,3267639131,6,P,Present and On Time,WP
9/8/2014,3259435654,4,P,Present and On Time,WP
9/8/2014,3259435654,4,P,Present and On Time,WP
